Instrument,Date,Price Close,Company Market Cap,Outstanding Shares,Price To Cash Flow Per Share (Daily Time Series Ratio),Cash Flow,Net Cash Flow from Operating Activities,Cash Flow Per Share - Actual,Price to Cash Flow per Share,Cash Flow from Operations per Share,CALC_PCF_MktCap_div_CF,CALC_PCF_MktCap_div_OpCF,CALC_PCF_Price_div_CF_Shares,CALC_PCF_Price_div_OpCF_Shares,CALC_PCF_Price_div_CFPS_Act,CALC_PCF_Price_div_OpCFPS
RACE.MI,2024-03-07,383.3,74330877166.7,180191180,43.3002883933528,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.71879804199687,43.300288393352815,35.97700094803418,40.234061886118035,40.51797040169133,40.528758438738066
RACE.MI,2024-03-08,387.3,75106571162.7,180171589,43.7521567825347,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.122855417859085,43.75215678253468,36.34849341725693,40.64951205158692,40.940803382663844,40.951704000321556
RACE.MI,2024-03-11,380.5,73787891369.5,180171589,42.9839805209255,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.43595787889332,42.983980520925506,35.710306597640745,39.935810316624895,40.221987315010566,40.232696545629615
RACE.MI,2024-03-12,387.7,75184140562.2999,180171589,43.7973436214529,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.163261155445255,43.79734362145282,36.38603381841082,40.691494506584675,40.9830866807611,40.9939985564799
RACE.MI,2024-03-13,387.4,75125963512.5999,180171589,43.7634534922642,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.13295685225559,43.763453492264176,36.3578785175454,40.66000766533635,40.95137420718815,40.96227763936114
RACE.MI,2024-03-14,386.5,74951432363.5,180171589,43.6617831046983,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.04204394268665,43.661783104698316,36.273412614949144,40.56554714159138,40.85623678646934,40.867114888004856
RACE.MI,2024-03-15,388.2,75281102311.8,180169623,43.8538271701006,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.21376832742809,43.85382717010061,36.43256176994856,40.743527984425356,41.03594080338266,41.04686675167784
RACE.MI,2024-03-18,393.6,76328289206.4,180169623,44.4638494954961,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.75924578484208,44.463849495496135,36.93935165546563,41.310284942477644,41.606765327695555,41.61784325981556
RACE.MI,2024-03-19,398.4,77259122001.6,180169623,45.0060915625144,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,40.24411463587674,45.006091562514385,37.38983155370301,41.81406890519079,42.11416490486258,42.12537793371574
RACE.MI,2024-03-20,399.2,77414260800.7999,180169623,45.0964652403507,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,40.32492611104913,45.096465240350696,37.46491153674258,41.89803289897631,42.198731501057075,42.20996704603244
RACE.MI,2024-03-21,399.2,77414260800.7999,180169623,45.0964652403507,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,40.32492611104913,45.096465240350696,37.46491153674258,41.89803289897631,42.198731501057075,42.20996704603244
RACE.MI,2024-03-22,401.5,77860284848.4999,180139944,45.3562895641303,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,40.5572591021699,45.35628956413027,37.67455940684314,42.13248783289653,42.44186046511628,42.453160743942945
RACE.MI,2024-03-25,406.0,78732940594.0,180139944,45.8646415019599,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,41.01182365001495,45.86464150195994,38.09681474266081,42.6047074972752,42.917547568710354,42.92897450072437
RACE.MI,2024-03-26,405.7,78674763544.2999,180139944,45.8307513727713,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,40.98151934682523,45.83075137277124,38.06866438693963,42.57322618631662,42.885835095137416,42.89725358360561
RACE.MI,2024-03-27,406.2,78771725293.8,180139944,45.887234921419,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,41.03202651880806,45.88723492141903,38.11558164647493,42.62569503791425,42.93868921775898,42.95012177880355
RACE.MI,2024-03-28,404.0,78345093596.0,180116127,45.638707307369,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,40.80979496208384,45.638707307369,37.904133589476196,42.38922690586303,42.7061310782241,42.71750171993263
RACE.MI,2024-04-02,391.3,75882265158.7,180116127,44.2040251717165,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.5269127937213,44.20402517171656,36.71259275634167,41.0566942778817,41.36363636363636,41.374649561905045
RACE.MI,2024-04-03,388.1,75261709961.9,180116127,43.842530460371,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.20366689303153,43.84253046037106,36.412361995236914,40.72093802516199,41.02536997885835,41.036293112638255
RACE.MI,2024-04-04,387.1,75067786462.9,180116127,43.7295633630756,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.10265254906597,43.72956336307559,36.318539882391676,40.61601419618708,40.91966173361522,40.93055672224238
RACE.MI,2024-04-05,387.5,75145355862.5,180088161,43.7747502019938,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.1430582866522,43.77475020199378,36.35042384811242,40.65167090508943,40.96194503171247,40.972851278400725
RACE.MI,2024-04-08,390.8,75785303409.2,180088161,44.1475416230688,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.47640562173853,44.147541623068825,36.659988747980215,40.99786577989406,41.3107822410148,41.32178136670711
RACE.MI,2024-04-09,385.5,74757508864.5,180088161,43.5488160074028,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.941029598721094,43.54881600740285,36.16280875728345,40.44185582945026,40.75052854122621,40.76137849760898
RACE.MI,2024-04-10,390.6,75746518709.4,180088161,44.1249482036097,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.456202752945416,44.124948203609726,36.64122723889732,40.976884272330146,41.28964059196617,41.30063408862794
RACE.MI,2024-04-11,389.9,75610772260.1,180088161,44.0458712355029,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.38549271216953,44.04587123550291,36.575561957107176,40.90344899585644,41.21564482029598,41.22661861535082
RACE.MI,2024-04-12,387.6,75164748212.4,180092198,43.7860469117233,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.15315972104875,43.786046911723325,36.36061967306364,40.66307317435194,40.97251585623678,40.98342491744032
RACE.MI,2024-04-15,389.9,75610772260.1,180092198,44.0458712355029,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.38549271216953,44.04587123550291,36.57638186410607,40.904365920226574,41.21564482029598,41.22661861535082
RACE.MI,2024-04-16,387.4,75125963512.6,180092198,43.7634534922642,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.132956852255646,43.76345349226424,36.34185774340777,40.6420911964498,40.95137420718815,40.96227763936114
RACE.MI,2024-04-17,390.5,75727126359.5,180092198,44.1136514938802,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.44610131854886,44.113651493880184,36.63266765307366,40.967311853933005,41.279069767441854,41.290060449588346
RACE.MI,2024-04-18,391.6,75940442208.3999,180092198,44.2379153009052,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.55721709691092,44.237915300905144,36.73585826618091,41.08271273239479,41.3953488372093,41.406370479023806
RACE.MI,2024-04-19,387.2,75087178812.7999,180072831,43.7408600728051,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.11275398346248,43.740860072805084,36.31918965121718,40.61674085039528,40.93023255813953,40.941130361281964
RACE.MI,2024-04-22,382.8,74233915417.2,180072831,43.2438048447051,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.6682908700141,43.24380484470508,35.906471586998805,40.15518697709533,40.46511627906977,40.47589024354013
