Instrument,Date,SourceDate,LookbackDays,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
AIXGn.DE,2013-04-30,2013-04-30,0,,-5.231884057971015,,-31.621645947198022,,-31.12405082325838
AIXGn.DE,2013-05-31,2013-05-31,0,,-6.664251207729469,,-40.28140157832985,,-39.64508597477833
AIXGn.DE,2013-06-30,2013-06-28,2,,-6.239130434782608,,-37.74319186150282,,-37.116077228290116
AIXGn.DE,2013-07-31,2013-07-31,0,,-5.729468599033817,,-147.9092565275732,,-143.08196790452388
AIXGn.DE,2013-08-31,2013-08-30,1,,-5.717391304347827,,-147.60538067349927,,-142.7803617327184
AIXGn.DE,2013-09-30,2013-09-30,0,,-6.033816425120773,,-155.7917763701806,,-150.6824434340222
AIXGn.DE,2013-10-31,2013-10-31,0,,-8.30859375,100.958406926,100.95840692638866,,91.6832845691349
AIXGn.DE,2013-11-30,2013-11-29,1,,-7.984375,97.018798193,97.01879819348304,,88.10561055914987
AIXGn.DE,2013-12-31,2013-12-30,1,,-8.21484375,99.960356634,99.9603566343061,,90.64877642166935
AIXGn.DE,2014-01-31,2014-01-31,0,,-8.84375,107.613050599,107.61305059935844,,97.58860191091745
AIXGn.DE,2014-02-28,2014-02-28,0,,-12.2979797979798,166.837270975,inf,,6214.865576910716
AIXGn.DE,2014-03-31,2014-03-31,0,,-11.98989898989899,162.661530074,inf,,6059.174899213978
AIXGn.DE,2014-04-30,2014-04-30,0,,-32.7,158.699116099,-64.6172576837277,,-62.04871012968935
AIXGn.DE,2014-05-31,2014-05-30,1,,-30.657142857142862,,-60.58044342039251,,-58.17235995557594
AIXGn.DE,2014-06-30,2014-06-30,0,,-30.200000000000003,,-59.67774787898486,,-57.304924951578535
AIXGn.DE,2014-07-31,2014-07-31,0,,-30.74242424242424,,-33.8463733030689,,-32.98097211952647
AIXGn.DE,2014-08-31,2014-08-29,2,,-30.257575757575754,,-33.31257145698797,,-32.460818788908014
AIXGn.DE,2014-09-30,2014-09-30,0,,-36.5,,-40.192450912080105,,-39.15779292062063
AIXGn.DE,2014-10-31,2014-10-31,0,,-18.32264150943396,,-22.561189404405393,,-22.17202872521274
AIXGn.DE,2014-11-30,2014-11-28,2,,-18.01132075471698,,-22.17785130825393,,-21.795302874151048
AIXGn.DE,2014-12-31,2014-12-30,1,,-17.679245283018865,,-21.77840985748443,,-21.393461966351907
AIXGn.DE,2015-01-31,2015-01-30,1,,-13.258490566037736,,-16.332645258115722,,-16.043954881275866
AIXGn.DE,2015-02-28,2015-02-27,1,,-12.792857142857141,,-23.900053049733568,,-23.295099222229506
AIXGn.DE,2015-03-31,2015-03-31,0,,-12.551785714285712,,-23.449675165630552,,-22.85612122181061
AIXGn.DE,2015-04-30,2015-04-30,0,,-11.183018867924527,,-19.610257197986083,,-19.12037171306961
AIXGn.DE,2015-05-31,2015-05-29,2,,-13.032075471698112,,-22.85271578648387,,-22.281830170773038
AIXGn.DE,2015-06-30,2015-06-30,0,,-11.432075471698113,,-20.04699651806943,,-19.546200811454156
AIXGn.DE,2015-07-31,2015-07-31,0,,-9.154237288135594,,-40.52284411768621,,-39.98451219820074
AIXGn.DE,2015-08-31,2015-08-31,0,,-9.661016949152543,,-42.766193569859546,,-42.198059531520876
AIXGn.DE,2015-09-30,2015-09-30,0,,-9.18135593220339,,-40.64288957332091,,-40.10296289162255
AIXGn.DE,2015-10-31,2015-10-30,1,,-14.475,,-176.05095554356595,,-27.94765255929009
AIXGn.DE,2015-11-30,2015-11-30,0,,-18.89,,-229.748017286215,,-36.471927934023476
AIXGn.DE,2015-12-31,2015-12-30,1,,-10.32,,-125.5161216725112,,-19.925373016364336
AIXGn.DE,2016-01-31,2016-01-29,2,,-8.2975,,-100.92227090504451,,-16.020424670860763
AIXGn.DE,2016-02-29,2016-02-29,0,,-13.444,,-8.299082434939738,,-5.6288287604858676
AIXGn.DE,2016-03-31,2016-03-31,0,,-17.012,,-10.501635702409638,,-7.122704170885568
AIXGn.DE,2016-04-30,2016-04-29,1,,-14.0,,-8.905671388261851,,-6.361859987063363
AIXGn.DE,2016-05-31,2016-05-31,0,,-18.241935483870968,,-11.604048778944877,,-8.289474245816434
AIXGn.DE,2016-06-30,2016-06-30,0,,-17.616129032258065,,-11.207618889354093,,-8.00509617266199
AIXGn.DE,2016-07-31,2016-07-29,2,,-18.10967741935484,,-11.521621030000727,,-8.229373725201318
AIXGn.DE,2016-08-31,2016-08-31,0,,-23.0625,,-7.945393972827747,,-6.179478434875164
AIXGn.DE,2016-09-30,2016-09-30,0,,-22.533333333333335,,-7.763087733523467,,-6.037690944138191
AIXGn.DE,2016-10-31,2016-10-31,0,,-18.799999999999997,,-6.479883153712947,,-5.037363450434821
AIXGn.DE,2016-11-30,2016-11-30,0,,-13.344827586206899,,-6.504829085137773,,-6.263178902831451
AIXGn.DE,2016-12-31,2016-12-30,1,,-10.686206896551726,,-5.209601975992131,,-5.015398299709217
AIXGn.DE,2017-01-31,2017-01-31,0,,-11.77241379310345,,-5.739135574713486,,-5.525191931335033
AIXGn.DE,2017-02-28,2017-02-28,0,,-15.4,,-9.680212162872154,,-9.576180236126397
AIXGn.DE,2017-03-31,2017-03-31,0,,-16.585714285714285,,-10.42553462068142,,-10.313492814603663
AIXGn.DE,2017-04-30,2017-04-28,2,,-26.49473684210526,34.850611548,34.85061154842267,,34.28013410454187
AIXGn.DE,2017-05-31,2017-05-31,0,,-30.821052631578947,40.541355031,40.541355031299865,,39.87772453639197
AIXGn.DE,2017-06-30,2017-06-30,0,,-32.39473684210527,42.611345666,42.61134566558236,,41.91383103167565
AIXGn.DE,2017-07-31,2017-07-31,0,,-37.545595363014044,18.867224151,18.867224150695513,,18.67663922066074
AIXGn.DE,2017-08-31,2017-08-31,0,,-40.58861739869085,20.397025676,20.397025675904196,,20.19035671938078
AIXGn.DE,2017-09-30,2017-09-29,1,,-56.91300654574527,28.600532125,28.6005321246522,,28.31074271005135
AIXGn.DE,2017-10-31,2017-10-30,1,,-111.54582535586448,28.08662657,28.08662657004831,,27.802083561372104
AIXGn.DE,2017-11-30,2017-11-30,0,,-102.59718638142012,25.860224772,25.86022477238926,,25.571692529396355
AIXGn.DE,2017-12-31,2017-12-29,2,,-96.39557146424707,24.297071226,24.297071226309736,,24.025979674678283
AIXGn.DE,2018-01-31,2018-01-31,0,,-101.0571880462832,25.472059127,25.472059126718694,,25.187857793660996
AIXGn.DE,2018-02-28,2018-02-28,0,282.04467354,274.17738433272086,26.448355491,26.448355491110778,,26.15720221764768
AIXGn.DE,2018-03-31,2018-03-29,2,269.329896907,261.8172707532988,25.256044613,25.25604461304683,,24.978016738448215
AIXGn.DE,2018-04-30,2018-04-30,0,41.023600249,40.89764377134578,92.767145323,92.76714532256948,,91.32880969073248
AIXGn.DE,2018-05-31,2018-05-31,0,44.484047339,44.34746610549556,100.592294654,100.59229465387014,,99.03263168067195
AIXGn.DE,2018-06-30,2018-06-29,1,38.410962696,38.29302790906268,86.859157577,86.85915757743676,,85.51242408832817
AIXGn.DE,2018-07-31,2018-07-31,0,29.027387889,29.297619047619047,76.318932424,76.31893242434174,,75.78619621928198
AIXGn.DE,2018-08-31,2018-08-31,0,25.382746338,25.61904761904762,66.736425265,66.73642526500797,,66.2705787338053
AIXGn.DE,2018-09-30,2018-09-28,2,20.570404095,20.761904761904763,54.083794453,54.08379445268281,,53.706268267544814
AIXGn.DE,2018-10-31,2018-10-31,0,22.418491975,22.66326530612245,66.105910735,66.10591073537111,,63.40254845304225
